Comment,Sentiment,tokens,filtered_tokens,processed_text
உச்சா போரத கவர் பன்னல போல,1,"['உச்சா', 'போரத', 'கவர்', 'பன்னல', 'போல']","['உச்சா', 'போரத', 'கவர்', 'பன்னல', 'போல']",உச்சா போரத கவர் பன்னல போல
மகனுக்கு பசி இல்லை ஜுஸ் கொடுக்கிறார் தமிழ் நாட்டில் எத்தனையோ குடும்பம் பசியால் வாடுது அவங்களுக்கு யார் பசியாற்றுவார் முதல்வர் ஆகிய நீங்களே,-1,"['மகனுக்கு', 'பசி', 'இல்லை', 'ஜுஸ்', 'கொடுக்கிறார்', 'தமிழ்', 'நாட்டில்', 'எத்தனையோ', 'குடும்பம்', 'பசியால்', 'வாடுது', 'அவங்களுக்கு', 'யார்', 'பசியாற்றுவார்', 'முதல்வர்', 'ஆகிய', 'நீங்களே']","['மகனுக்கு', 'பசி', 'ஜுஸ்', 'கொடுக்கிறார்', 'தமிழ்', 'நாட்டில்', 'எத்தனையோ', 'குடும்பம்', 'பசியால்', 'வாடுது', 'அவங்களுக்கு', 'யார்', 'பசியாற்றுவார்', 'முதல்வர்', 'ஆகிய', 'நீங்களே']",மகனுக்கு பசி ஜுஸ் கொடுக்கிறார் தமிழ் நாட்டில் எத்தனையோ குடும்பம் பசியால் வாடுது அவங்களுக்கு யார் பசியாற்றுவார் முதல்வர் ஆகிய நீங்களே
லூசு,0,['லூசு'],['லூசு'],லூசு
அடேய் அவன் ஜீஸ் மட்டும் தான் குடிக்க சொன்ன என்னமோ சுன்ணி உம்ப சொன்னது மாதிரி போடுறீங்க,-1,"['அடேய்', 'அவன்', 'ஜீஸ்', 'மட்டும்', 'தான்', 'குடிக்க', 'சொன்ன', 'என்னமோ', 'சுன்ணி', 'உம்ப', 'சொன்னது', 'மாதிரி', 'போடுறீங்க']","['அடேய்', 'அவன்', 'ஜீஸ்', 'மட்டும்', 'தான்', 'குடிக்க', 'சொன்ன', 'என்னமோ', 'சுன்ணி', 'உம்ப', 'சொன்னது', 'மாதிரி', 'போடுறீங்க']",அடேய் அவன் ஜீஸ் மட்டும் தான் குடிக்க சொன்ன என்னமோ சுன்ணி உம்ப சொன்னது மாதிரி போடுறீங்க
ஓத்தா இதல்லாம் ஒரு பிரச்னைன்னய்யா,1,"['ஓத்தா', 'இதல்லாம்', 'ஒரு', 'பிரச்னைன்னய்யா']","['ஓத்தா', 'இதல்லாம்', 'பிரச்னைன்னய்யா']",ஓத்தா இதல்லாம் பிரச்னைன்னய்யா
நல்லவேளை சிறுநீர் கழித்துவிட்டு பேம்பர்ஸ் போடாமல் விட்டது,1,"['நல்லவேளை', 'சிறுநீர்', 'கழித்துவிட்டு', 'பேம்பர்ஸ்', 'போடாமல்', 'விட்டது']","['நல்லவேளை', 'சிறுநீர்', 'கழித்துவிட்டு', 'பேம்பர்ஸ்', 'போடாமல்', 'விட்டது']",நல்லவேளை சிறுநீர் கழித்துவிட்டு பேம்பர்ஸ் போடாமல் விட்டது
சரக்கு கொடு குடிப்பான் அயோக்ய குடும்பம்,1,"['சரக்கு', 'கொடு', 'குடிப்பான்', 'அயோக்ய', 'குடும்பம்']","['சரக்கு', 'கொடு', 'குடிப்பான்', 'அயோக்ய', 'குடும்பம்']",சரக்கு கொடு குடிப்பான் அயோக்ய குடும்பம்
ஆரம்பத்துல நல்ல நியூஸ் சேனலா தான் இருந்தான் இப்ப ரெட் லைட் மீடியா ஆயிட்டான் உபி,0,"['ஆரம்பத்துல', 'நல்ல', 'நியூஸ்', 'சேனலா', 'தான்', 'இருந்தான்', 'இப்ப', 'ரெட்', 'லைட்', 'மீடியா', 'ஆயிட்டான்', 'உபி']","['ஆரம்பத்துல', 'நல்ல', 'நியூஸ்', 'சேனலா', 'தான்', 'இருந்தான்', 'இப்ப', 'ரெட்', 'லைட்', 'மீடியா', 'ஆயிட்டான்', 'உபி']",ஆரம்பத்துல நல்ல நியூஸ் சேனலா தான் இருந்தான் இப்ப ரெட் லைட் மீடியா ஆயிட்டான் உபி
ஜல்லிக்கட்டுக்கு வரும் காளைகளுக்கு இவன் மகன் ஏதோ ஒரு வேலை செய்யப் போகிறான் அதற்குத்தான் குடிக்க பழக சொல்கிறாரோ,0,"['ஜல்லிக்கட்டுக்கு', 'வரும்', 'காளைகளுக்கு', 'இவன்', 'மகன்', 'ஏதோ', 'ஒரு', 'வேலை', 'செய்யப்', 'போகிறான்', 'அதற்குத்தான்', 'குடிக்க', 'பழக', 'சொல்கிறாரோ']","['ஜல்லிக்கட்டுக்கு', 'வரும்', 'காளைகளுக்கு', 'இவன்', 'மகன்', 'ஏதோ', 'வேலை', 'செய்யப்', 'போகிறான்', 'அதற்குத்தான்', 'குடிக்க', 'பழக', 'சொல்கிறாரோ']",ஜல்லிக்கட்டுக்கு வரும் காளைகளுக்கு இவன் மகன் ஏதோ வேலை செய்யப் போகிறான் அதற்குத்தான் குடிக்க பழக சொல்கிறாரோ
செருப்பாலயே அடிக்கனும் இது ஒரு செய்தியாடா தேவிடியா ஊடகமே,-1,"['செருப்பாலயே', 'அடிக்கனும்', 'இது', 'ஒரு', 'செய்தியாடா', 'தேவிடியா', 'ஊடகமே']","['செருப்பாலயே', 'அடிக்கனும்', 'செய்தியாடா', 'தேவிடியா', 'ஊடகமே']",செருப்பாலயே அடிக்கனும் செய்தியாடா தேவிடியா ஊடகமே
கருமம் பிடித்த ஊடகங்கள்,-1,"['கருமம்', 'பிடித்த', 'ஊடகங்கள்']","['கருமம்', 'பிடித்த', 'ஊடகங்கள்']",கருமம் பிடித்த ஊடகங்கள்
மானங்கெட்ட மீடியா திருந்துங்கடா,0,"['மானங்கெட்ட', 'மீடியா', 'திருந்துங்கடா']","['மானங்கெட்ட', 'மீடியா', 'திருந்துங்கடா']",மானங்கெட்ட மீடியா திருந்துங்கடா
ஜூஸா பாலிடாயிலா என்று உறுதி செய்து கொள்கிறார் பாவம்,-1,"['ஜூஸா', 'பாலிடாயிலா', 'என்று', 'உறுதி', 'செய்து', 'கொள்கிறார்', 'பாவம்']","['ஜூஸா', 'பாலிடாயிலா', 'உறுதி', 'செய்து', 'கொள்கிறார்', 'பாவம்']",ஜூஸா பாலிடாயிலா உறுதி செய்து கொள்கிறார் பாவம்
அவன் ஜூஸ் குடிக்க வச்சான் நீங்க அவன் மூத்திரத்தை புடிச்சு குடிங்க இதெல்லாம் ஒரு நியூஸ் என்று போட்டுட்டு சாவடிச்சிடுவேன் டா ஒருத்தன் மூடிட்டு போங்கடா,-1,"['அவன்', 'ஜூஸ்', 'குடிக்க', 'வச்சான்', 'நீங்க', 'அவன்', 'மூத்திரத்தை', 'புடிச்சு', 'குடிங்க', 'இதெல்லாம்', 'ஒரு', 'நியூஸ்', 'என்று', 'போட்டுட்டு', 'சாவடிச்சிடுவேன்', 'டா', 'ஒருத்தன்', 'மூடிட்டு', 'போங்கடா']","['அவன்', 'ஜூஸ்', 'குடிக்க', 'வச்சான்', 'நீங்க', 'அவன்', 'மூத்திரத்தை', 'புடிச்சு', 'குடிங்க', 'இதெல்லாம்', 'நியூஸ்', 'போட்டுட்டு', 'சாவடிச்சிடுவேன்', 'டா', 'ஒருத்தன்', 'மூடிட்டு', 'போங்கடா']",அவன் ஜூஸ் குடிக்க வச்சான் நீங்க அவன் மூத்திரத்தை புடிச்சு குடிங்க இதெல்லாம் நியூஸ் போட்டுட்டு சாவடிச்சிடுவேன் டா ஒருத்தன் மூடிட்டு போங்கடா
ரொம்ப அவசிய புண்ட இது,0,"['ரொம்ப', 'அவசிய', 'புண்ட', 'இது']","['ரொம்ப', 'அவசிய', 'புண்ட']",ரொம்ப அவசிய புண்ட
ரொம்ப முக்கியம்,1,"['ரொம்ப', 'முக்கியம்']","['ரொம்ப', 'முக்கியம்']",ரொம்ப முக்கியம்
வெண்முரசு படிக்க,1,"['வெண்முரசு', 'படிக்க']","['வெண்முரசு', 'படிக்க']",வெண்முரசு படிக்க
அனைத்தும் தமிழ் புத்தகங்கள் அதுதான் எனக்கு ஆச்சரியம்,-1,"['அனைத்தும்', 'தமிழ்', 'புத்தகங்கள்', 'அதுதான்', 'எனக்கு', 'ஆச்சரியம்']","['அனைத்தும்', 'தமிழ்', 'புத்தகங்கள்', 'அதுதான்', 'எனக்கு', 'ஆச்சரியம்']",அனைத்தும் தமிழ் புத்தகங்கள் அதுதான் எனக்கு ஆச்சரியம்
அருமை அருமை நண்பர் சமுத்திரக்கனி அவர்களுக்கு என் மனமார்ந்த நன்கறியும் வாழ்த்துக்களும் உங்களுடைய படைப்புக்களையும் நடிப்பையும் நான் நேசித்து ரசித்து பார்ப்பதுண்டு ஆனால் உங்களுக்குள் இப்படி ஒரு படிப்பாளி ஒழிந்திருப்பார் என்று நினைக்கவில்லை அதை தெரிந்து கொண்டதில் மிக்க மகிழ்ச்சி அதை தெரியப்படுத்திய தொகுப்பாளருக்கும் ஒரு மிகப்பெரிய நன்றி மீண்டும் ஒரு வாழ்த்துக்கள் நண்பா,-1,"['அருமை', 'அருமை', 'நண்பர்', 'சமுத்திரக்கனி', 'அவர்களுக்கு', 'என்', 'மனமார்ந்த', 'நன்கறியும்', 'வாழ்த்துக்களும்', 'உங்களுடைய', 'படைப்புக்களையும்', 'நடிப்பையும்', 'நான்', 'நேசித்து', 'ரசித்து', 'பார்ப்பதுண்டு', 'ஆனால்', 'உங்களுக்குள்', 'இப்படி', 'ஒரு', 'படிப்பாளி', 'ஒழிந்திருப்பார்', 'என்று', 'நினைக்கவில்லை', 'அதை', 'தெரிந்து', 'கொண்டதில்', 'மிக்க', 'மகிழ்ச்சி', 'அதை', 'தெரியப்படுத்திய', 'தொகுப்பாளருக்கும்', 'ஒரு', 'மிகப்பெரிய', 'நன்றி', 'மீண்டும்', 'ஒரு', 'வாழ்த்துக்கள்', 'நண்பா']","['அருமை', 'அருமை', 'நண்பர்', 'சமுத்திரக்கனி', 'அவர்களுக்கு', 'மனமார்ந்த', 'நன்கறியும்', 'வாழ்த்துக்களும்', 'உங்களுடைய', 'படைப்புக்களையும்', 'நடிப்பையும்', 'நேசித்து', 'ரசித்து', 'பார்ப்பதுண்டு', 'ஆனால்', 'உங்களுக்குள்', 'இப்படி', 'படிப்பாளி', 'ஒழிந்திருப்பார்', 'நினைக்கவில்லை', 'அதை', 'தெரிந்து', 'கொண்டதில்', 'மிக்க', 'மகிழ்ச்சி', 'அதை', 'தெரியப்படுத்திய', 'தொகுப்பாளருக்கும்', 'மிகப்பெரிய', 'நன்றி', 'மீண்டும்', 'வாழ்த்துக்கள்', 'நண்பா']",அருமை அருமை நண்பர் சமுத்திரக்கனி அவர்களுக்கு மனமார்ந்த நன்கறியும் வாழ்த்துக்களும் உங்களுடைய படைப்புக்களையும் நடிப்பையும் நேசித்து ரசித்து பார்ப்பதுண்டு ஆனால் உங்களுக்குள் இப்படி படிப்பாளி ஒழிந்திருப்பார் நினைக்கவில்லை அதை தெரிந்து கொண்டதில் மிக்க மகிழ்ச்சி அதை தெரியப்படுத்திய தொகுப்பாளருக்கும் மிகப்பெரிய நன்றி மீண்டும் வாழ்த்துக்கள் நண்பா
சமுத்திரகனி சார் இவ்வளவு புத்தகம் வைத்திருப்பார் என்று நினைத்து கூட பார்க்கவில்லை,-1,"['சமுத்திரகனி', 'சார்', 'இவ்வளவு', 'புத்தகம்', 'வைத்திருப்பார்', 'என்று', 'நினைத்து', 'கூட', 'பார்க்கவில்லை']","['சமுத்திரகனி', 'சார்', 'இவ்வளவு', 'புத்தகம்', 'வைத்திருப்பார்', 'நினைத்து', 'கூட', 'பார்க்கவில்லை']",சமுத்திரகனி சார் இவ்வளவு புத்தகம் வைத்திருப்பார் நினைத்து கூட பார்க்கவில்லை
புத்தகம் வாசிப்போம் வாழ்வை நேசிப்போம்,1,"['புத்தகம்', 'வாசிப்போம்', 'வாழ்வை', 'நேசிப்போம்']","['புத்தகம்', 'வாசிப்போம்', 'வாழ்வை', 'நேசிப்போம்']",புத்தகம் வாசிப்போம் வாழ்வை நேசிப்போம்
ரகசிய சினேகிதி நானும் பாலகுமாரன் நாவல்களுக்கு ரசிகை வாசகி புத்தகங்கள வாசிப்பை திருடியிருந்தாலும் வாசிப்பை விட்டு விடக்கூடாது என்பதற்காகவே தினமும் செய்தித்தாள் வாசிப்பை தொடர்கிறேன் எங்களுக்கு வாசிப்பு பழக்கத்தை எங்கள் தாய் வயதிலிருந்தே முத்தாரம் பாக்யா கல்கண்டு சிறுவர்கள் புத்தகம் கோகுலம் சந்தமாமா மாதிரியான புத்தகங்களை கடைகளில் மட்டும் அல்லாது லென்டிங் லைப்ரரியிலும் வாங்கி கொடுத்து வாசிப்பை பழக்கப்படுத்தினார் இப்போதும் என் அக்கா தொடர்கிறார் நான் பிடித்த கதை அல்லது நேரம் கிடைக்கும் போது நாவல்கள் படிப்பேன் பிள்ளைகளுக்கு கட்டாயம் வாசிப்பு பழக்கம் இருக்கவேண்டும் ஆனால் இப்போதுள்ள பிள்ளைகள் பாடபுத்தகத்தையே ல் தான் படிக்கிறார்கள்,1,"['ரகசிய', 'சினேகிதி', 'நானும்', 'பாலகுமாரன்', 'நாவல்களுக்கு', 'ரசிகை', 'வாசகி', 'புத்தகங்கள', 'வாசிப்பை', 'திருடியிருந்தாலும்', 'வாசிப்பை', 'விட்டு', 'விடக்கூடாது', 'என்பதற்காகவே', 'தினமும்', 'செய்தித்தாள்', 'வாசிப்பை', 'தொடர்கிறேன்', 'எங்களுக்கு', 'வாசிப்பு', 'பழக்கத்தை', 'எங்கள்', 'தாய்', 'வயதிலிருந்தே', 'முத்தாரம்', 'பாக்யா', 'கல்கண்டு', 'சிறுவர்கள்', 'புத்தகம்', 'கோகுலம்', 'சந்தமாமா', 'மாதிரியான', 'புத்தகங்களை', 'கடைகளில்', 'மட்டும்', 'அல்லாது', 'லென்டிங்', 'லைப்ரரியிலும்', 'வாங்கி', 'கொடுத்து', 'வாசிப்பை', 'பழக்கப்படுத்தினார்', 'இப்போதும்', 'என்', 'அக்கா', 'தொடர்கிறார்', 'நான்', 'பிடித்த', 'கதை', 'அல்லது', 'நேரம்', 'கிடைக்கும்', 'போது', 'நாவல்கள்', 'படிப்பேன்', 'பிள்ளைகளுக்கு', 'கட்டாயம்', 'வாசிப்பு', 'பழக்கம்', 'இருக்கவேண்டும்', 'ஆனால்', 'இப்போதுள்ள', 'பிள்ளைகள்', 'பாடபுத்தகத்தையே', 'ல்', 'தான்', 'படிக்கிறார்கள்']","['ரகசிய', 'சினேகிதி', 'நானும்', 'பாலகுமாரன்', 'நாவல்களுக்கு', 'ரசிகை', 'வாசகி', 'புத்தகங்கள', 'வாசிப்பை', 'திருடியிருந்தாலும்', 'வாசிப்பை', 'விட்டு', 'விடக்கூடாது', 'என்பதற்காகவே', 'தினமும்', 'செய்தித்தாள்', 'வாசிப்பை', 'தொடர்கிறேன்', 'எங்களுக்கு', 'வாசிப்பு', 'பழக்கத்தை', 'எங்கள்', 'தாய்', 'வயதிலிருந்தே', 'முத்தாரம்', 'பாக்யா', 'கல்கண்டு', 'சிறுவர்கள்', 'புத்தகம்', 'கோகுலம்', 'சந்தமாமா', 'மாதிரியான', 'புத்தகங்களை', 'கடைகளில்', 'மட்டும்', 'அல்லாது', 'லென்டிங்', 'லைப்ரரியிலும்', 'வாங்கி', 'கொடுத்து', 'வாசிப்பை', 'பழக்கப்படுத்தினார்', 'இப்போதும்', 'அக்கா', 'தொடர்கிறார்', 'பிடித்த', 'கதை', 'அல்லது', 'நேரம்', 'கிடைக்கும்', 'போது', 'நாவல்கள்', 'படிப்பேன்', 'பிள்ளைகளுக்கு', 'கட்டாயம்', 'வாசிப்பு', 'பழக்கம்', 'இருக்கவேண்டும்', 'ஆனால்', 'இப்போதுள்ள', 'பிள்ளைகள்', 'பாடபுத்தகத்தையே', 'ல்', 'தான்', 'படிக்கிறார்கள்']",ரகசிய சினேகிதி நானும் பாலகுமாரன் நாவல்களுக்கு ரசிகை வாசகி புத்தகங்கள வாசிப்பை திருடியிருந்தாலும் வாசிப்பை விட்டு விடக்கூடாது என்பதற்காகவே தினமும் செய்தித்தாள் வாசிப்பை தொடர்கிறேன் எங்களுக்கு வாசிப்பு பழக்கத்தை எங்கள் தாய் வயதிலிருந்தே முத்தாரம் பாக்யா கல்கண்டு சிறுவர்கள் புத்தகம் கோகுலம் சந்தமாமா மாதிரியான புத்தகங்களை கடைகளில் மட்டும் அல்லாது லென்டிங் லைப்ரரியிலும் வாங்கி கொடுத்து வாசிப்பை பழக்கப்படுத்தினார் இப்போதும் அக்கா தொடர்கிறார் பிடித்த கதை அல்லது நேரம் கிடைக்கும் போது நாவல்கள் படிப்பேன் பிள்ளைகளுக்கு கட்டாயம் வாசிப்பு பழக்கம் இருக்கவேண்டும் ஆனால் இப்போதுள்ள பிள்ளைகள் பாடபுத்தகத்தையே ல் தான் படிக்கிறார்கள்
புத்தகம் படிப்பதற்கு இப்போது நேரம் என்பது அதைவிட வலைதளம் தடையாக இருக்கிறது,0,"['புத்தகம்', 'படிப்பதற்கு', 'இப்போது', 'நேரம்', 'என்பது', 'அதைவிட', 'வலைதளம்', 'தடையாக', 'இருக்கிறது']","['புத்தகம்', 'படிப்பதற்கு', 'இப்போது', 'நேரம்', 'என்பது', 'அதைவிட', 'வலைதளம்', 'தடையாக', 'இருக்கிறது']",புத்தகம் படிப்பதற்கு இப்போது நேரம் என்பது அதைவிட வலைதளம் தடையாக இருக்கிறது
வேள்பாரி அருமையான புத்தகம்,1,"['வேள்பாரி', 'அருமையான', 'புத்தகம்']","['வேள்பாரி', 'அருமையான', 'புத்தகம்']",வேள்பாரி அருமையான புத்தகம்
ஒரு நொடி உடல் சிலிர்த்தது அருமைமிகச்சிறந்த விளக்கம் ஆகச்சிறந்த படைப்புகளின் சேகரிப்புகள் பள்ளிப் புத்தகம் போன்றவற்றில் வீட்டு நூலகம் பற்றி படித்திருக்கிறேன் இப்படி ஒன்று உண்மையிலேயே இப்பவும் இருக்குனு பாக்கும் போது சந்தோசமா இருக்கு இந்த மலையளவு கடலளவு நூல்களுள் நான் கடுகளவு வாசித்துள்ளேன் என்பதில் உள்ளுக்குள் மகிழ்ச்சி கலாட்டா இப்போதான் ஒரு உருப்படியான தேவையான காணொலி பதிவு செஞ்சிருக்கிங்க இதோட விட்டுடாம தொடர்ந்து செஞ்சா நல்லா இருக்கும்,-1,"['ஒரு', 'நொடி', 'உடல்', 'சிலிர்த்தது', 'அருமைமிகச்சிறந்த', 'விளக்கம்', 'ஆகச்சிறந்த', 'படைப்புகளின்', 'சேகரிப்புகள்', 'பள்ளிப்', 'புத்தகம்', 'போன்றவற்றில்', 'வீட்டு', 'நூலகம்', 'பற்றி', 'படித்திருக்கிறேன்', 'இப்படி', 'ஒன்று', 'உண்மையிலேயே', 'இப்பவும்', 'இருக்குனு', 'பாக்கும்', 'போது', 'சந்தோசமா', 'இருக்கு', 'இந்த', 'மலையளவு', 'கடலளவு', 'நூல்களுள்', 'நான்', 'கடுகளவு', 'வாசித்துள்ளேன்', 'என்பதில்', 'உள்ளுக்குள்', 'மகிழ்ச்சி', 'கலாட்டா', 'இப்போதான்', 'ஒரு', 'உருப்படியான', 'தேவையான', 'காணொலி', 'பதிவு', 'செஞ்சிருக்கிங்க', 'இதோட', 'விட்டுடாம', 'தொடர்ந்து', 'செஞ்சா', 'நல்லா', 'இருக்கும்']","['நொடி', 'உடல்', 'சிலிர்த்தது', 'அருமைமிகச்சிறந்த', 'விளக்கம்', 'ஆகச்சிறந்த', 'படைப்புகளின்', 'சேகரிப்புகள்', 'பள்ளிப்', 'புத்தகம்', 'போன்றவற்றில்', 'வீட்டு', 'நூலகம்', 'பற்றி', 'படித்திருக்கிறேன்', 'இப்படி', 'ஒன்று', 'உண்மையிலேயே', 'இப்பவும்', 'இருக்குனு', 'பாக்கும்', 'போது', 'சந்தோசமா', 'இருக்கு', 'இந்த', 'மலையளவு', 'கடலளவு', 'நூல்களுள்', 'கடுகளவு', 'வாசித்துள்ளேன்', 'என்பதில்', 'உள்ளுக்குள்', 'மகிழ்ச்சி', 'கலாட்டா', 'இப்போதான்', 'உருப்படியான', 'தேவையான', 'காணொலி', 'பதிவு', 'செஞ்சிருக்கிங்க', 'இதோட', 'விட்டுடாம', 'தொடர்ந்து', 'செஞ்சா', 'நல்லா', 'இருக்கும்']",நொடி உடல் சிலிர்த்தது அருமைமிகச்சிறந்த விளக்கம் ஆகச்சிறந்த படைப்புகளின் சேகரிப்புகள் பள்ளிப் புத்தகம் போன்றவற்றில் வீட்டு நூலகம் பற்றி படித்திருக்கிறேன் இப்படி ஒன்று உண்மையிலேயே இப்பவும் இருக்குனு பாக்கும் போது சந்தோசமா இருக்கு இந்த மலையளவு கடலளவு நூல்களுள் கடுகளவு வாசித்துள்ளேன் என்பதில் உள்ளுக்குள் மகிழ்ச்சி கலாட்டா இப்போதான் உருப்படியான தேவையான காணொலி பதிவு செஞ்சிருக்கிங்க இதோட விட்டுடாம தொடர்ந்து செஞ்சா நல்லா இருக்கும்
மனுஷன் கொழந்த மாதிரி மாறி புத்தகங்கள பத்தி பேசராருயா,-1,"['மனுஷன்', 'கொழந்த', 'மாதிரி', 'மாறி', 'புத்தகங்கள', 'பத்தி', 'பேசராருயா']","['மனுஷன்', 'கொழந்த', 'மாதிரி', 'மாறி', 'புத்தகங்கள', 'பத்தி', 'பேசராருயா']",மனுஷன் கொழந்த மாதிரி மாறி புத்தகங்கள பத்தி பேசராருயா
புத்தகம் வைச்சிருக்கவன் எல்லாம் அமைதியா இருக்கான் புத்தகம் வைச்சிருக்கிற மிஷ்கின் பன்ற அளப்பற இருக்கே அய்யய்யோ,-1,"['புத்தகம்', 'வைச்சிருக்கவன்', 'எல்லாம்', 'அமைதியா', 'இருக்கான்', 'புத்தகம்', 'வைச்சிருக்கிற', 'மிஷ்கின்', 'பன்ற', 'அளப்பற', 'இருக்கே', 'அய்யய்யோ']","['புத்தகம்', 'வைச்சிருக்கவன்', 'எல்லாம்', 'அமைதியா', 'இருக்கான்', 'புத்தகம்', 'வைச்சிருக்கிற', 'மிஷ்கின்', 'பன்ற', 'அளப்பற', 'இருக்கே', 'அய்யய்யோ']",புத்தகம் வைச்சிருக்கவன் எல்லாம் அமைதியா இருக்கான் புத்தகம் வைச்சிருக்கிற மிஷ்கின் பன்ற அளப்பற இருக்கே அய்யய்யோ
வார்த்தைகள் இல்லை மெய்சிலிர்க்க வைக்கிறது உணர்வுபூர்வமான வாழ்த்துக்கள்,-1,"['வார்த்தைகள்', 'இல்லை', 'மெய்சிலிர்க்க', 'வைக்கிறது', 'உணர்வுபூர்வமான', 'வாழ்த்துக்கள்']","['வார்த்தைகள்', 'மெய்சிலிர்க்க', 'வைக்கிறது', 'உணர்வுபூர்வமான', 'வாழ்த்துக்கள்']",வார்த்தைகள் மெய்சிலிர்க்க வைக்கிறது உணர்வுபூர்வமான வாழ்த்துக்கள்
என்னா படுச்சு என்ன ப்ரீயோஜனம்,-1,"['என்னா', 'படுச்சு', 'என்ன', 'ப்ரீயோஜனம்']","['என்னா', 'படுச்சு', 'என்ன', 'ப்ரீயோஜனம்']",என்னா படுச்சு என்ன ப்ரீயோஜனம்
சமுத்திரக்கனி யின் இந்த முகம் ஆச்சரியப்படுத்துகிறது படிப்பாளிய் இருக்கும் படைப்பாளிகளின் வெற்றி உறுதியானது,1,"['சமுத்திரக்கனி', 'யின்', 'இந்த', 'முகம்', 'ஆச்சரியப்படுத்துகிறது', 'படிப்பாளிய்', 'இருக்கும்', 'படைப்பாளிகளின்', 'வெற்றி', 'உறுதியானது']","['சமுத்திரக்கனி', 'யின்', 'இந்த', 'முகம்', 'ஆச்சரியப்படுத்துகிறது', 'படிப்பாளிய்', 'இருக்கும்', 'படைப்பாளிகளின்', 'வெற்றி', 'உறுதியானது']",சமுத்திரக்கனி யின் இந்த முகம் ஆச்சரியப்படுத்துகிறது படிப்பாளிய் இருக்கும் படைப்பாளிகளின் வெற்றி உறுதியானது
அருமை,0,['அருமை'],['அருமை'],அருமை
அண்ணன் உண்மையாகவே ஒரு மா மனிதர்,-1,"['அண்ணன்', 'உண்மையாகவே', 'ஒரு', 'மா', 'மனிதர்']","['அண்ணன்', 'உண்மையாகவே', 'மா', 'மனிதர்']",அண்ணன் உண்மையாகவே மா மனிதர்
இவர் சிறப்பாக பேசும்போதே சிறந்த பேச்சு திறமை உள்ளவராகவும் இருக்கிறார்னு சின்ன சந்தேகம் இருந்தது அது ஊர்ஜிதம் ஆயிருச்சு இவ்வளவு அறிவு எங்கிருந்து வந்ததுன்னு சூப்பர் சூப்பர்,0,"['இவர்', 'சிறப்பாக', 'பேசும்போதே', 'சிறந்த', 'பேச்சு', 'திறமை', 'உள்ளவராகவும்', 'இருக்கிறார்னு', 'சின்ன', 'சந்தேகம்', 'இருந்தது', 'அது', 'ஊர்ஜிதம்', 'ஆயிருச்சு', 'இவ்வளவு', 'அறிவு', 'எங்கிருந்து', 'வந்ததுன்னு', 'சூப்பர்', 'சூப்பர்']","['இவர்', 'சிறப்பாக', 'பேசும்போதே', 'சிறந்த', 'பேச்சு', 'திறமை', 'உள்ளவராகவும்', 'இருக்கிறார்னு', 'சின்ன', 'சந்தேகம்', 'இருந்தது', 'அது', 'ஊர்ஜிதம்', 'ஆயிருச்சு', 'இவ்வளவு', 'அறிவு', 'எங்கிருந்து', 'வந்ததுன்னு', 'சூப்பர்', 'சூப்பர்']",இவர் சிறப்பாக பேசும்போதே சிறந்த பேச்சு திறமை உள்ளவராகவும் இருக்கிறார்னு சின்ன சந்தேகம் இருந்தது அது ஊர்ஜிதம் ஆயிருச்சு இவ்வளவு அறிவு எங்கிருந்து வந்ததுன்னு சூப்பர் சூப்பர்
சமுத்திரகனி அண்ணே தமிழ் காமிக்ஸ் புத்தகம் இருக்கா,1,"['சமுத்திரகனி', 'அண்ணே', 'தமிழ்', 'காமிக்ஸ்', 'புத்தகம்', 'இருக்கா']","['சமுத்திரகனி', 'அண்ணே', 'தமிழ்', 'காமிக்ஸ்', 'புத்தகம்', 'இருக்கா']",சமுத்திரகனி அண்ணே தமிழ் காமிக்ஸ் புத்தகம் இருக்கா
ஒரு நடிகனின் நூலகம்,1,"['ஒரு', 'நடிகனின்', 'நூலகம்']","['நடிகனின்', 'நூலகம்']",நடிகனின் நூலகம்
சமுத்திரகனி நாயுடு,1,"['சமுத்திரகனி', 'நாயுடு']","['சமுத்திரகனி', 'நாயுடு']",சமுத்திரகனி நாயுடு
அருமை சமுத்திரகனி சார்,1,"['அருமை', 'சமுத்திரகனி', 'சார்']","['அருமை', 'சமுத்திரகனி', 'சார்']",அருமை சமுத்திரகனி சார்
